id,name_en,name_ja,country,country_code,abbreviation,gender,birthday,pro_year,handedness,weight,height,highest_singles_ranking,highest_doubles_ranking,sport_category_id,created_at,updated_at
sr:competitor:110281,,"コントレーラス・ゴメス,フェルナンダ",メキシコ,MEX,CON,1,1997-10-08,,0,,,139,99,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:110299,,"ジダンセク,タマラ",スロベニア,SVN,ZID,1,1997-12-26,2014,0,,168,22,47,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:110803,,"ミンネン,グリート",ベルギー,BEL,MIN,1,1997-08-14,,0,,,59,45,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:111189,,"ザラズア,レナータ",メキシコ,MEX,ZAR,1,1997-09-30,2014,0,,160,97,135,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:111195,,"ルス,オーランド",ブラジル,BRA,LUZ,0,1998-02-08,,0,78,180,272,90,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:111609,,"バロッソ・カンポス,アルベルト",スペイン,ESP,BAR,0,1996-06-04,,0,,,381,225,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:111837,,ハリス・ビリー,グレートブリテン及び北アイルランド連合王国,GBR,HAR,0,1995-01-25,,0,,,200,274,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:111857,,"ウル,ヴァディム",ウクライナ,UKR,URS,0,1997-01-01,,0,,,471,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:111879,,"ファング,ステイシー",カナダ,CAN,FUN,1,1997-02-06,,0,,,222,454,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:112783,,ベレッティーニ、マッテオ,イタリア,ITA,BER,0,1996-04-12,2015,0,90,196,6,105,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:112957,,"ジャンジャン,レオリア",フランス,FRA,JEA,1,1995-08-14,,0,,,102,162,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:112987,,ハンデル・ティム,ドイツ,DEU,HAN,0,1996-10-18,,0,,,385,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:113079,,"グラバー,ジュリア",オーストリー,AUT,GRA,1,1996-07-02,2014,0,60,170,54,387,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:113859,,"ベリアー,アントイン",スイス,CHE,BEL,0,1996-10-18,,1,,,168,342,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:113905,,"モレーノ・デ・アルボラン,ニコラス",米国,USA,MAN,0,1997-07-14,,0,,,121,474,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:113979,,"フィコヴィッチ,フアン・パブロ",アルゼンチン,ARG,FIC,0,1997-01-24,,0,78,191,125,360,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:115507,,"ボルソワ・ザドイノフ,アリオナ",スペイン,ESP,BOL,1,1997-11-06,,0,,174,88,54,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:116616,,"クラーケ,ジェイ",グレートブリテン及び北アイルランド連合王国,GBR,CLA,0,1998-07-27,2016,0,82,183,153,221,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:117866,,"ムクンド, サシクマール",インド,IND,MUK,0,1997-01-14,,0,78,185,229,431,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:117916,,"シャポワロフ,デニス",カナダ,CAN,SHA,0,1999-04-15,2017,1,75,183,10,44,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:05:10.000000Z
sr:competitor:118052,,"オズ,イペク",トルコ,TUR,IPE,1,1999-07-08,,1,,,163,327,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:118526,,"ウォルフ,ヴィヴィアン",米国,USA,WOL,1,1998-10-08,,0,,,363,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:119140,,"エリス,ブレイク",オーストラリア,AUS,ELL,0,1999-01-06,,0,75,191,348,186,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:119248,,"ルード,カスパー",ノルウェー,NOR,RUU,0,1998-12-22,2015,0,77,183,2,133,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:119496,,"マクフィー,ケイラ",オーストラリア,AUS,MCP,1,1998-02-04,,0,,167,199,218,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:121178,,"ガウティエ,アレクシス",フランス,FRA,GAU,0,1997-04-07,,0,,,326,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:121182,,"ギナルド,マヌエル",フランス,FRA,GUI,0,1995-11-15,,0,81,196,134,131,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:121668,,"メリゲニ アウベス, フェリペ",ブラジル,BRA,MEL,0,1998-02-19,,0,,,129,75,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:121760,,"アンシュバ,アミナ",Neutral,,ANS,1,1999-09-09,,1,,,278,84,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:122366,,チチパス、ステファノス,ギリシャ,GRC,TSI,0,1998-08-12,2016,0,85,193,3,64,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:122368,,"グリークスポア,タロン",オランダ,NLD,GRI,0,1996-07-02,,0,82,188,21,86,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:122630,,"アンドリアンジャフィトリモ,テッサ",フランス,FRA,AND,1,1998-10-11,,0,60,169,139,389,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:123694,,"ブランカクシオ,ラウール",イタリア,ITA,BRA,0,1997-05-04,,0,72,185,121,252,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:123824,,"ドレイデ,キャロライン",米国,USA,DOL,1,1998-09-05,2017,0,79,178,41,21,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:124656,,"ヴキッチ,アレクサンダー",オーストラリア,AUS,VUK,0,1996-04-06,,0,84,188,48,389,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:124658,,"パーセル,マックス",オーストラリア,AUS,PUR,0,1998-04-03,2015,0,75,185,40,25,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:124708,,クキェルマン・ダニエル,イスラエル,ISR,CUK,0,1995-07-09,,,,,339,182,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:124804,,"マワロワ,レベッカ",スペイン,ESP,MAS,1,1999-08-06,2016,0,71,186,62,125,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:124916,,"ゴジョ,ボルナ",クロアチア,HRV,GOJ,0,1998-02-27,,0,90,196,73,394,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:124930,,"サフュリン,ロマン",Neutral,,SAF,0,1997-08-07,2015,0,75,185,39,239,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:125006,,"ボルヘス,ヌーノ",ポルトガル,PRT,BOR,0,1997-02-19,,0,75,185,63,69,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:126356,,"ムナール, ハウメ",スペイン,ESP,MUN,0,1997-05-05,2014,0,76,183,52,149,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:126402,,"デノリー,コレンティン",フランス,FRA,DEN,0,1997-06-06,,1,77,185,289,270,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:127208,,"アルトマイヤー,ダニエル",ドイツ,DEU,ALT,0,1998-09-12,2014,0,79,188,47,300,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:128552,,"ポピリン,アレクセイ",オーストラリア,AUS,POP,0,1999-08-05,2017,0,77,196,39,235,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:128584,,"サムソノワ, リュドミラ",Neutral,,SAM,1,1998-11-11,,0,,,12,40,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:128638,,"セボフ,カトリン",カナダ,CAN,SEB,1,1999-01-05,2016,0,,173,136,433,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:129368,,"ケプファー,ドミニク",ドイツ,DEU,KOE,0,1994-04-29,2016,1,82,180,50,92,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:129534,,"フルンチャコヴァ, ヴィクトリア",スロバキア,SVK,HRU,1,1998-05-11,2014,0,61,180,43,27,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:130398,,"ケクマノヴィッチ,ミオミル",セルビア,SRB,KEC,0,1999-08-31,2017,0,75,183,27,127,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:130436,,"ハビブ,ハディ",レバノン,LBN,HAB,0,1998-08-21,,0,,,301,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:130624,,"ガサノワ,アナスタシア",Neutral,,GAS,1,1999-05-15,2014,0,,,121,224,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:130628,,"ミロシュニチェンコ, ヴェロニカ",Neutral,,MIR,1,1997-11-19,,1,,,303,202,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:130690,,"オカムラ,キョウカ",日本,JPN,OKA,1,1995-10-06,,0,,,223,229,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:131442,,"モー,マイケル",米国,USA,MMO,0,1998-01-10,2016,0,90,188,81,265,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:131566,,"ナガル,シュミット",インド,IND,NAG,0,1997-08-16,2015,0,69,178,122,416,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:132186,,"メンデス,シオーネ",オーストラリア,AUS,MEN,1,1999-05-15,,2,,,198,304,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:132370,,"カサトキナ,ダリア",Neutral,,KAS,1,1997-05-07,2014,0,62,170,8,43,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:132412,,"フィタ・ボルーダ,アンヘラ",スペイン,ESP,FIT,1,1999-07-12,,,,,253,168,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:132414,,"ゲレーロ,アルバレス",スペイン,ESP,GUE,1,1999-09-04,,0,,,221,307,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:132558,,"コラール,ズデネク",チェコ,CZE,KOL,0,1996-10-09,2014,0,76,185,111,110,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:132834,,"バリオス ベラ, トマス",チリ,CHL,BAR,0,1997-12-10,2014,0,83,191,103,217,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:132988,,メ・イェシン,中国,CHN,YEX,1,1999-06-10,,,,,197,187,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:133662,,"バドサ, パウラ",スペイン,ESP,BAS,1,1997-11-15,2013,0,70,180,2,124,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:134342,,"センギス,ベルフ",トルコ,TUR,CEN,1,1999-10-18,,0,,,228,214,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:134532,,"ユ,シャオディ",中国,CHN,YOU,1,1996-05-12,2014,0,,,166,102,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:135192,,"レイム,アリス",フランス,FRA,RAM,1,1997-11-09,,0,,,339,452,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:135778,,"ポーレイン,ルカス",フランス,FRA,POU,0,1995-12-05,,,,,248,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:136042,,フリッツ、テイラー,米国,USA,FRI,0,1997-10-28,2015,0,86,193,5,104,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:136302,,"スピテリ,ダリラ",イタリア,ITA,SPI,1,1997-04-24,,0,,,323,315,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:09:43.000000Z
sr:competitor:137810,,"ブランチ,ウリセス",米国,USA,BLA,0,1998-03-25,2016,0,78,188,236,423,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:137932,,"ミカルスカイト,ジャスティナ",リトアニア,LTU,MIK,1,1996-02-06,,0,,,225,154,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:137948,,"チャン,ハンナ",米国,USA,CHA,1,1998-02-25,,0,,,214,265,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:137962,,"デイ,カイラ",米国,USA,DAY,1,1999-09-28,2016,1,,173,84,133,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:138452,,"シバハラ,エナ",日本,JPN,SHI,1,1998-02-12,,0,,,383,4,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:138528,,"メヒア,ニコラス",コロンビア,COL,MEJ,0,2000-02-11,,0,,,228,153,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:138546,,"ポール,トミー",米国,USA,PAU,0,1997-05-17,2015,0,82,185,12,97,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:138712,,"オラディーニ, ジョヴァンニ",イタリア,ITA,ORA,0,1997-09-14,,1,,,352,337,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:141882,,"ブランカネウクス,ジェフェリー",フランス,FRA,BLA,0,1998-08-08,2016,0,68,178,134,164,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:141892,,"カール,マリア・ルーデス",アルゼンチン,ARG,CAR,1,2000-02-10,,0,,,98,136,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:143140,,"アネイ, ジェシー",米国,USA,ANE,1,1998-04-19,,,,,343,112,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:143146,,"スミス,アラナ",米国,USA,SMI,1,1999-11-09,,0,,,410,178,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:144084,,"カカレヴィッチ,サラ",フランス,FRA,CAK,1,1997-03-12,,0,,,304,319,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:144102,,"ウェイス,アレクサンダー",イタリア,ITA,WEI,0,1997-04-24,,0,,,285,378,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:14414,,"ガスケット,リチャード",フランス,FRA,GAS,0,1986-06-18,2002,0,79,183,7,45,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:145108,,"ベルトラ,レミー",スイス,CHE,BER,0,1998-08-31,,0,,,342,301,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:145112,,"フェルラー,マーク・アンドレア",スイス,CHE,HUE,0,1996-06-24,,1,88,196,47,132,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:145122,,"マルティノー,マテオ",フランス,FRA,MAR,0,1999-01-16,,0,76,183,266,327,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:145130,,"モルカン,アレックス",スロバキア,SVK,MOL,0,1997-12-01,,1,73,178,38,268,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:14548,,ワウリンカ、スタン,スイス,CHE,WAW,0,1985-03-28,2002,0,81,183,3,88,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:146040,,"ゴメス, フェデリコ・アグスティン",アルゼンチン,ARG,GOM,0,1996-11-26,,0,,,,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:147506,,"フォーリス・J,ジェイミー",オーストラリア,AUS,FOU,1,1999-09-17,2015,0,61,168,147,138,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:148264,,"ガブリック,アンナ",ドイツ,DEU,GAB,1,1998-05-20,,0,,,427,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:14844,,モンフィス、ガエル,フランス,FRA,MON,0,1986-09-01,2004,0,85,193,6,155,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:14882,,ジョコビッチ、ノバク,セルビア,SRB,DJO,0,1987-05-22,2003,0,77,188,1,114,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:149100,,"スルタノフ,クモユン",ウズベキスタン,UZB,SUL,0,1998-10-27,,0,80,180,299,363,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:150130,,"ガオ,シンユ",中国,CHN,GAO,1,1997-11-21,,0,,180,181,230,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:150574,,"ボンダール,アナ",ハンガリー,HUN,BON,1,1997-05-27,2013,0,,,50,43,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:15126,,"ミュライ,アンディ",グレートブリテン及び北アイルランド連合王国,GBR,MUR,0,1987-05-15,2005,0,82,191,1,51,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:152048,,"イメール,ミカエル",スウェーデン,SWE,YME,0,1998-09-09,2015,0,75,183,50,187,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:152052,,"ブジョークランド,ミリャム",スウェーデン,SWE,BJO,1,1998-07-29,,0,,,123,281,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:152726,,"フリバーグ,カール",スウェーデン,SWE,FRI,0,1999-03-25,,0,,,355,,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:152766,,"エルゴ,マレーネ",ノルウェー,NOR,HEL,1,1999-08-26,,0,,,319,347,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:152804,,"ヴォンドロウソワ,マルケタ",チェコ,CZE,VON,1,1999-06-28,2014,1,59,172,6,38,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:153652,,"グオ,ハンユ",中国,CHN,GUO,1,1998-05-18,,0,,,278,35,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:153736,,"グラシュコ,リナ",イスラエル,ISR,GLU,1,2000-01-12,,,,,211,296,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:153748,,"ジョーンズ,マケンナ",米国,USA,JON,1,1998-02-26,,0,,,236,107,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:153826,,"エチャルギ,モエズ",チュニジア,TUN,ECH,0,1993-01-10,,2,75,180,271,362,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:153860,,"トレヴィサン,マルティナ",イタリア,ITA,TRE,1,1993-11-03,2008,1,,160,18,138,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:15434,,フォニーニ、ファビオ,イタリア,ITA,FOG,0,1987-05-24,2004,0,79,178,9,7,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:155556,,"ブルガル,ミリアム・ビアンカ",ルーマニア,ROU,BUL,1,1998-10-08,,0,,,183,371,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:155890,,"ステファニーニ,ラクレジア",イタリア,ITA,STE,1,1998-05-15,,0,,,99,393,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:155952,,"スワン,ケイティ",グレートブリテン及び北アイルランド連合王国,GBR,SWA,1,1999-03-24,2016,0,55,170,118,293,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
sr:competitor:156098,,"アラカワ,ハルナ",日本,JPN,ARA,1,1999-10-27,,0,,,352,240,1,2024-03-31T16:17:11.000000Z,2024-04-06T11:13:35.000000Z
